technology,year,postapril,e3genmod
Wind,2016,99,99
Wind,2017,99,99
Wind,2018,133,133
Wind,2019,133,133
Wind,2020,163,133
Wind,2021,163,133
Wind,2022,163,133
Wind,2023,163,133
Wind,2024,163,133
Wind,2025,163,133
Wind,2026,163,133
Wind,2027,163,133
Wind,2028,163,133
Wind,2029,163,133
Wind,2030,163,133
Wind,2031,163,133
Wind,2032,163,133
Wind,2033,163,133
Wind,2034,163,133
Wind,2035,163,133
Wind,2036,163,133
Wind,2037,163,133
Wind,2038,163,133
Wind,2039,163,133
Wind,2040,163,133
Wind,2041,163,133
Wind,2042,163,133
Wind,2043,163,133
Wind,2044,163,133
Wind,2045,163,163
Offshore Wind,2016,0,0
Offshore Wind,2017,0,0
Offshore Wind,2018,0,0
Offshore Wind,2019,0,0
Offshore Wind,2020,0,0
Offshore Wind,2021,0,0
Offshore Wind,2022,0,0
Offshore Wind,2023,0,0
Offshore Wind,2024,0,0
Offshore Wind,2025,0,200
Offshore Wind,2026,0,200
Offshore Wind,2027,0,200
Offshore Wind,2028,0,200
Offshore Wind,2029,0,200
Offshore Wind,2030,0,200
Offshore Wind,2031,0,200
Offshore Wind,2032,0,200
Offshore Wind,2033,0,200
Offshore Wind,2034,0,200
Offshore Wind,2035,0,200
Offshore Wind,2036,0,200
Offshore Wind,2037,0,200
Offshore Wind,2038,0,200
Offshore Wind,2039,0,200
Offshore Wind,2040,400,200
Offshore Wind,2041,400,200
Offshore Wind,2042,400,200
Offshore Wind,2043,400,200
Offshore Wind,2044,400,200
Offshore Wind,2045,800,200
