technology,year,postapril,e3genmod
Fossil,2016,6278057.51 ,6278057.51
Fossil,2017,6191908.05 ,6191825.92
Fossil,2018,5864880.56 ,5864731.95
Fossil,2019,5806462.78 ,5807083.30
Fossil,2020,5299431.70 ,5377685.87
Fossil,2021,5006133.62 ,5262341.17
Fossil,2022,4846994.08 ,5097390.76
Fossil,2023,4625599.61 ,4974944.02
Fossil,2024,4528216.71 ,4867209.86
Fossil,2025,4198932.82 ,3312555.53
Fossil,2026,4064900.05 ,3213488.52
Fossil,2027,3944444.68 ,3099668.04
Fossil,2028,3849123.94 ,3008901.61
Fossil,2029,3734410.58 ,2861359.02
Fossil,2030,3251437.05 ,2752067.20
Fossil,2031,3177544.18 ,2678848.29
Fossil,2032,3144776.27 ,2676693.77
Fossil,2033,3117454.42 ,2644206.49
Fossil,2034,3101020.86 ,2631789.51
Fossil,2035,3100101.80 ,2622812.05
Fossil,2036,3128551.34 ,2627346.83
Fossil,2037,3117515.96 ,2607895.96
Fossil,2038,3134615.77 ,2608286.35
Fossil,2039,3133129.89 ,2602659.21
Fossil,2040,1838492.88 ,2095406.45
Fossil,2041,1919528.22 ,2096231.05
Fossil,2042,1891385.75 ,2091763.10
Fossil,2043,1901304.70 ,2083495.14
Fossil,2044,1930199.93 ,2090077.63
Fossil,2045,0.00 ,0.00
Bio,2016,413825.21 ,413825.21
Bio,2017,426561.73 ,426643.86
Bio,2018,436834.12 ,436982.73
Bio,2019,455441.54 ,454857.04
Bio,2020,450011.81 ,436843.70
Bio,2021,455840.65 ,452738.40
Bio,2022,435710.27 ,463968.80
Bio,2023,436262.46 ,460930.77
Bio,2024,432155.67 ,462952.69
Bio,2025,439348.59 ,478635.86
Bio,2026,431891.41 ,466964.01
Bio,2027,422019.70 ,467239.36
Bio,2028,417293.13 ,458240.15
Bio,2029,415418.56 ,455788.93
Bio,2030,429850.83 ,456938.87
Bio,2031,423378.83 ,456367.84
Bio,2032,420666.19 ,456733.05
Bio,2033,415263.39 ,455170.16
Bio,2034,410134.68 ,454268.61
Bio,2035,405781.70 ,455126.64
Bio,2036,403608.08 ,456967.29
Bio,2037,398696.73 ,454727.28
Bio,2038,396116.83 ,454517.25
Bio,2039,393432.88 ,453547.51
Bio,2040,375853.02 ,444469.11
Bio,2041,375685.35 ,440309.48
Bio,2042,375707.90 ,438805.84
Bio,2043,375022.20 ,438413.10
Bio,2044,375582.76 ,437884.03
Bio,2045,1278226.71 ,743470.81
DGPV,2016,688576.53 ,688576.53
DGPV,2017,810304.31 ,810304.31
DGPV,2018,876663.87 ,876663.87
DGPV,2019,950109.43 ,950109.43
DGPV,2020,1018121.62 ,1018121.62
DGPV,2021,1105014.24 ,1105014.24
DGPV,2022,1150154.84 ,1150154.84
DGPV,2023,1235791.72 ,1235791.72
DGPV,2024,1339005.62 ,1339005.62
DGPV,2025,1434900.98 ,1434900.98
DGPV,2026,1534461.04 ,1534461.04
DGPV,2027,1634009.90 ,1634009.90
DGPV,2028,1738341.17 ,1738341.17
DGPV,2029,1833084.86 ,1833110.40
DGPV,2030,1932685.88 ,1932685.88
DGPV,2031,2032236.05 ,2032236.05
DGPV,2032,2137687.07 ,2137687.07
DGPV,2033,2231334.70 ,2231334.70
DGPV,2034,2330895.73 ,2330895.73
DGPV,2035,2430445.37 ,2430445.37
DGPV,2036,2537025.87 ,2537025.87
DGPV,2037,2629574.73 ,2629574.73
DGPV,2038,2729123.39 ,2729123.39
DGPV,2039,2828679.35 ,2828679.35
DGPV,2040,2936351.04 ,2936299.33
DGPV,2041,3027760.25 ,3027789.69
DGPV,2042,3127339.97 ,3127339.97
DGPV,2043,3226896.80 ,3226896.80
DGPV,2044,3335407.30 ,3335649.11
DGPV,2045,3425016.05 ,3425483.48
PV,2016,22183.40 ,22183.40
PV,2017,114349.10 ,114349.10
PV,2018,414144.22 ,414144.22
PV,2019,460696.29 ,460660.27
PV,2020,843028.42 ,837253.06
PV,2021,1023731.58 ,825701.03
PV,2022,1111142.90 ,933712.83
PV,2023,1213242.75 ,933241.49
PV,2024,1209319.15 ,933032.16
PV,2025,1392398.97 ,1362356.97
PV,2026,1420858.71 ,1362229.69
PV,2027,1443636.80 ,1361523.73
PV,2028,1445089.85 ,1360732.47
PV,2029,1417749.89 ,1360274.25
PV,2030,1813201.50 ,1360458.93
PV,2031,1820822.94 ,1360417.64
PV,2032,1854838.89 ,1359427.48
PV,2033,1854417.38 ,1359070.72
PV,2034,1863082.63 ,1357865.53
PV,2035,1855195.25 ,1359015.89
PV,2036,1833875.51 ,1358812.55
PV,2037,1826506.14 ,1357887.28
PV,2038,1807824.86 ,1356847.41
PV,2039,1803350.04 ,1355200.45
PV,2040,1604045.93 ,1935204.61
