technology,year,e3genmod,postapril
Bio,2016,0,0.00
Bio,2017,0,0.00
Bio,2018,0,0.00
Bio,2019,0,0.00
Bio,2020,0,0.00
Bio,2021,0,0.00
Bio,2022,0,0.00
Bio,2023,0,0.00
Bio,2024,0,0.00
Bio,2025,0,0.00
Bio,2026,0,0.00
Bio,2027,0,87488.64
Bio,2028,0,87952.55
Bio,2029,0,83699.74
Bio,2030,0,66020.71
Bio,2031,0,67083.84
Bio,2032,0,65823.81
Bio,2033,0,65325.21
Bio,2034,0,64775.16
Bio,2035,0,65527.53
Bio,2036,0,67277.96
Bio,2037,0,66343.59
Bio,2038,0,67401.72
Bio,2039,0,68636.36
Bio,2040,13.82541541,200539.16
Bio,2041,139.7515027,202364.90
Bio,2042,48.58258585,205665.97
Bio,2043,14.25,211017.06
Bio,2044,16.28024338,218228.99
Bio,2045,89358.12399,220276.22
DER,2016,134782.518,134781.72
DER,2017,160616.9615,160616.59
DER,2018,172139.5765,172161.47
DER,2019,178464.4649,178458.14
DER,2020,184968.0426,184921.08
DER,2021,190074.277,190038.63
DER,2022,208712.9045,208467.33
DER,2023,229556.6575,228884.25
DER,2024,250935.4998,248990.52
DER,2025,271266.1855,265255.24
DER,2026,291569.893,282138.59
DER,2027,311229.2606,296121.57
DER,2028,330693.6509,310118.09
DER,2029,347018.8714,321175.05
DER,2030,374060.7602,326744.36
DER,2031,394735.1207,340696.03
DER,2032,415416.7366,353171.63
DER,2033,434929.5501,365850.32
DER,2034,454721.0972,380383.17
DER,2035,477426.1351,395004.35
DER,2036,499475.6909,411102.80
DER,2037,518135.4614,425176.48
DER,2038,538166.5018,440042.61
DER,2039,557097.9271,455597.72
DER,2040,584697.0993,472816.79
DER,2041,604023.8973,486974.12
DER,2042,624535.4565,502503.27
DER,2043,644928.97,518483.72
DER,2044,667736.4813,536652.85
DER,2045,686413.8402,550834.88
Fossil,2016,617220.3327,611282.15
Fossil,2017,574513.7999,573523.09
Fossil,2018,554958.5487,555131.21
Fossil,2019,560590.6446,560794.70
Fossil,2020,470754.4519,478707.95
Fossil,2021,471257.4208,479102.26
Fossil,2022,327570.1884,469532.86
Fossil,2023,319244.8147,459491.82
Fossil,2024,310900.3377,446902.38
Fossil,2025,281894.4308,305064.93
Fossil,2026,269015.3076,290337.11
Fossil,2027,259165.7108,197464.65
Fossil,2028,246536.2568,186895.02
Fossil,2029,229655.4628,174833.72
Fossil,2030,160311.4119,97279.56
Fossil,2031,154720.8569,97164.17
Fossil,2032,143681.5178,94903.97
Fossil,2033,142809.4462,98767.75
Fossil,2034,144437.4407,105868.16
Fossil,2035,128096.0294,106596.53
Fossil,2036,129611.0753,109185.21
Fossil,2037,126655.7799,113331.38
Fossil,2038,131118.8365,121015.20
Fossil,2039,134761.1645,125831.02
Fossil,2040,119437.9201,0.00
Fossil,2041,120237.5088,0.00
Fossil,2042,118367.8734,0.00
Fossil,2043,117939.942,0.00
Fossil,2044,125259.8932,0.00
Fossil,2045,0,0.00
PV,2016,0,0.00
PV,2017,0,0.00
PV,2018,1349.318648,1347.91
PV,2019,1375.99712,1371.77
PV,2020,1485.315239,1456.56
PV,2021,1480.288978,1450.35
PV,2022,1480.90857,1467.84
PV,2023,1479.712401,1459.29
PV,2024,1480.725304,1417.65
PV,2025,1467.059856,1309.58
PV,2026,1456.140587,1219.72
PV,2027,1419.861303,979.76
PV,2028,1393.485519,792.82
PV,2029,1340.860589,682.40
PV,2030,1407.08579,431.52
PV,2031,1397.08851,392.58
PV,2032,1375.738554,342.52
PV,2033,1349.028628,316.16
PV,2034,1320.250074,293.27
PV,2035,1377.579097,288.41
PV,2036,1361.476306,278.24
PV,2037,1356.019766,262.23
PV,2038,1311.512444,258.15
PV,2039,1247.858409,255.37
PV,2040,1424.9932,248.78
PV,2041,1415.307216,248.23
PV,2042,1400.899341,242.66
PV,2043,1392.567854,242.06
PV,2044,1363.743466,240.27
PV,2045,1419.889934,241.18
Wind,2016,153990.3881,153985.56
Wind,2017,161908.5689,161877.86
Wind,2018,170967.9278,170968.14
Wind,2019,171399.469,171363.53
Wind,2020,266699.7339,262153.92
Wind,2021,265484.0441,260848.50
Wind,2022,420070.2524,259223.49
Wind,2023,411774.5211,254841.60
Wind,2024,402974.0363,251184.86
Wind,2025,414128.0097,230149.87
Wind,2026,403625.8689,228120.10
Wind,2027,387573.3116,221255.49
Wind,2028,390670.238,224284.47
Wind,2029,377443.7101,219124.25
Wind,2030,417676.5466,202788.97
Wind,2031,413796.2779,200369.14
Wind,2032,404403.7104,194241.48
Wind,2033,396685.2749,191563.23
Wind,2034,392706.2102,191309.49
Wind,2035,402868.448,189996.23
