year,e3genmod_power,e3genmod_utilization,postapril_power,postapril_utilization
2016,0,0,0,0
2017,0,0,0,0
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
2021,0,0,0,0
2022,426,0.200940286,0,0
2023,426,0.174806272,0,0
2024,426,0.180225579,0,0
2025,455,0.276993814,0,0
2026,455,0.293576133,0,0
2027,455,0.299440355,0,0
2028,455,0.301188493,0,0
2029,455,0.30046729,0,0
2030,620,0.263989095,300,0.340278141
2031,620,0.266507003,300,0.341603376
2032,620,0.269451163,300,0.345923784
2033,620,0.270824526,300,0.346356833
2034,620,0.273048409,300,0.347164404
2035,788,0.236101914,300,0.350561045
2036,788,0.243791476,300,0.350635267
2037,788,0.24814912,300,0.355274492
2038,788,0.25627396,300,0.354756333
2039,788,0.258618694,300,0.357900129
2040,1208,0.228691017,300,0.374158904
2041,1208,0.240787487,300,0.364119259
2042,1208,0.234346513,300,0.374819183
2043,1208,0.240302297,300,0.374019473
2044,1208,0.242293549,300,0.37467862
2045,2733,0.223578355,300,0.370505517
